malicious_package,target_package,ecosystem,registry,classification,source
aiohttpp,aiohttp,pypi,https://pypi.org,repetition,ossf/malicious-packages
aiohhttp,aiohttp,pypi,https://pypi.org,repetition,ossf/malicious-packages
aiohtttp,aiohttp,pypi,https://pypi.org,repetition,datadog/malicious-software-packages-dataset
aiohtttps,aiohttp,pypi,https://pypi.org,repetition,datadog/malicious-software-packages-dataset
aioconsol,aioconsole,pypi,https://pypi.org,omission,datadog/malicious-software-packages-dataset
aiopbotocore,aiobotocore,pypi,https://pypi.org,addition,datadog/malicious-software-packages-dataset
beautifulsup4,beautifulsoup4,pypi,https://pypi.org,omission,datadog/malicious-software-packages-dataset
beautifulsoup-numpy,beautifulsoup4,pypi,https://pypi.org,addition,datadog/malicious-software-packages-dataset
beautifulsoup-requests,beautifulsoup4,pypi,https://pypi.org,addition,datadog/malicious-software-packages-dataset
BeautifulSoop,beautifulsoup4,pypi,https://pypi.org,replacement,lxyeternal/pypi_malregistry
BeaotifulSoup,beautifulsoup4,pypi,https://pypi.org,transposition,lxyeternal/pypi_malregistry
BeaufifulSoup,beautifulsoup4,pypi,https://pypi.org,omission,lxyeternal/pypi_malregistry
botoceor,botocore,pypi,https://pypi.org,transposition,datadog/malicious-software-packages-dataset
botocote,botocore,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
btoocore,botocore,pypi,https://pypi.org,transposition,datadog/malicious-software-packages-dataset
colorara,colorama,pypi,https://pypi.org,omission,datadog/malicious-software-packages-dataset
coloroma,colorama,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
colotama,colorama,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
colurama,colorama,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
colouramas,colorama,pypi,https://pypi.org,plural,datadog/malicious-software-packages-dataset
cryptograohy,cryptography,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
cryptographz,cryptography,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
dequests,requests,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
fequests,requests,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
gequests,requests,pypi,https://pypi.org,replacement,datadog/malicious-software-packages-dataset
